,HI30_GerEme,HI30_EmeEnJ,HI30_EnJFlo,HI30_FloFla,HI30_FlaFlw,HI30_FlwStG,HI30_StGEnG,HI30_EnGMat,HI30_MatHar,CumHI30_GerEme,CumHI30_EmeEnJ,CumHI30_EnJFlo,CumHI30_FloFla,CumHI30_FlaFlw,CumHI30_FlwStG,CumHI30_StGEnG,CumHI30_EnGMat,CumHI30_MatHar,TT_GerEme,TT_EmeEnJ,TT_EnJFlo,TT_FloFla,TT_FlaFlw,TT_FlwStG,TT_StGEnG,TT_EnGMat,TT_MatHar,biomass_GerEme,biomass_EmeEnJ,biomass_EnJFlo,biomass_FloFla,biomass_FlaFlw,biomass_FlwStG,biomass_StGEnG,biomass_EnGMat,biomass_MatHar,yield_FlaFlw,yield_FlwStG,yield_StGEnG,yield_EnGMat,yield_MatHar,Eo_GerEme,Eo_EmeEnJ,Eo_EnJFlo,Eo_FloFla,Eo_FlaFlw,Eo_FlwStG,Eo_StGEnG,Eo_EnGMat,Eo_MatHar,Eos_GerEme,Eos_EmeEnJ,Eos_EnJFlo,Eos_FloFla,Eos_FlaFlw,Eos_FlwStG,Eos_StGEnG,Eos_EnGMat,Eos_MatHar,Es_GerEme,Es_EmeEnJ,Es_EnJFlo,Es_FloFla,Es_FlaFlw,Es_FlwStG,Es_StGEnG,Es_EnGMat,Es_MatHar,ESW_GerEme,ESW_EmeEnJ,ESW_EnJFlo,ESW_FloFla,ESW_FlaFlw,ESW_FlwStG,ESW_StGEnG,ESW_EnGMat,ESW_MatHar,Flow_GerEme,Flow_EmeEnJ,Flow_EnJFlo,Flow_FloFla,Flow_FlaFlw,Flow_FlwStG,Flow_StGEnG,Flow_EnGMat,Flow_MatHar,FlowNO3_GerEme,FlowNO3_EmeEnJ,FlowNO3_EnJFlo,FlowNO3_FloFla,FlowNO3_FlaFlw,FlowNO3_FlwStG,FlowNO3_StGEnG,FlowNO3_EnGMat,FlowNO3_MatHar,Flux_GerEme,Flux_EmeEnJ,Flux_EnJFlo,Flux_FloFla,Flux_FlaFlw,Flux_FlwStG,Flux_StGEnG,Flux_EnGMat,Flux_MatHar,Infiltration_GerEme,Infiltration_EmeEnJ,Infiltration_EnJFlo,Infiltration_FloFla,Infiltration_FlaFlw,Infiltration_FlwStG,Infiltration_StGEnG,Infiltration_EnGMat,Infiltration_MatHar,PotInf_GerEme,PotInf_EmeEnJ,PotInf_EnJFlo,PotInf_FloFla,PotInf_FlaFlw,PotInf_FlwStG,PotInf_StGEnG,PotInf_EnGMat,PotInf_MatHar,PotRunoff_GerEme,PotRunoff_EmeEnJ,PotRunoff_EnJFlo,PotRunoff_FloFla,PotRunoff_FlaFlw,PotRunoff_FlwStG,PotRunoff_StGEnG,PotRunoff_EnGMat,PotRunoff_MatHar,Runoff_GerEme,Runoff_EmeEnJ,Runoff_EnJFlo,Runoff_FloFla,Runoff_FlaFlw,Runoff_FlwStG,Runoff_StGEnG,Runoff_EnGMat,Runoff_MatHar,SW_GerEme,SW_EmeEnJ,SW_EnJFlo,SW_FloFla,SW_FlaFlw,SW_FlwStG,SW_StGEnG,SW_EnGMat,SW_MatHar,T_GerEme,T_EmeEnJ,T_EnJFlo,T_FloFla,T_FlaFlw,T_FlwStG,T_StGEnG,T_EnGMat,T_MatHar,WaterTable_GerEme,WaterTable_EmeEnJ,WaterTable_EnJFlo,WaterTable_FloFla,WaterTable_FlaFlw,WaterTable_FlwStG,WaterTable_StGEnG,WaterTable_EnGMat,CoverGreen_GerEme,CoverGreen_EmeEnJ,CoverGreen_EnJFlo,CoverGreen_FloFla,CoverGreen_FlaFlw,CoverGreen_FlwStG,CoverGreen_StGEnG,CoverGreen_EnGMat,CoverGreen_MatHar,CoverTotal_GerEme,CoverTotal_EmeEnJ,CoverTotal_EnJFlo,CoverTotal_FloFla,CoverTotal_FlaFlw,CoverTotal_FlwStG,CoverTotal_StGEnG,CoverTotal_EnGMat,CoverTotal_MatHar,LAI_GerEme,LAI_EmeEnJ,LAI_EnJFlo,LAI_FloFla,LAI_FlaFlw,LAI_FlwStG,LAI_StGEnG,LAI_EnGMat,LAI_MatHar,CumTT_GerEme,CumTT_EmeEnJ,CumTT_EnJFlo,CumTT_FloFla,CumTT_FlaFlw,CumTT_FlwStG,CumTT_StGEnG,CumTT_EnGMat,CumTT_MatHar
2014-IAH1,2,6,1,15,3,3,16,2,1,2,8,9,24,27,30,46,48,49,9.293042267,13.44219455,12.0737853,13.115922,14.49396342,13.63689045,14.27901273,15.43031555,17.1449995,0.00626701,0.686824568,2.884042,198.7042702,708.39058,927.94407,1478.626257,1819.365,1819.365,0.019028992,0.438957044,6.249598398,10.66219401,10.66219401,5.076759067,5.276380879,4.296785,4.76592111,5.21119594,4.82272974,4.154741569,5.2643085,5.6343356,4.727961867,4.945802821,3.9775886,2.511439243,1.31178224,1.25061465,1.315951337,2.08147555,2.2426065,1.791298979,2.598864321,1.713862359,1.80779668,1.282684145,1.191473253,1.307575941,2.081475555,2.242606539,221.2998983,225.3382909,237.4625451,290.697266,273.4612599,240.0025359,217.3092905,249.9334046,250.1339087,-0.10098618,-0.113964644,-0.131987193,-0.071574403,0.013242676,-0.055865901,-0.07320429,-0.103794847,-0.107453053,1.112835716,2.169466655,5.154126603,7.930519889,0.403521648,0.053886911,0.23807691,0.711422671,0.715147157,6.411475729,3.799475271,5.98587705,21.19760469,5.864454076,0.824066029,2.962244806,9.613242,9.406983,1.205555556,3.528134929,5.630786,5.621336619,0.054,1.306,4.948367886,3.375,5.81,1.205555556,3.580714286,5.675,6.068571429,0.054,1.306,5.460285714,3.375,5.81,1.205555556,3.580714286,5.675,6.068571429,0.054,1.306,5.460285714,3.375,5.81,0,0.052579357,0.044214125,0.44723486,0,0,0.51191781,0,0,2.582194496,2.602386464,2.663007719,2.929181335,2.843001298,2.675707683,2.562241457,2.72536203,2.726364558,3.865973778,2.513758564,1.083421844,1.246982571,3.68828,3.13951817,0.703090495,0,0,0,0,0,84.59137752,1773.303738,1614.982808,0,0,6.89E-05,0.006794381,0.02605953,0.468021496,0.80126866,0.78300074,0.659511049,0.49748535,0.4901777,6.89E-05,0.006794381,0.02605953,0.468207725,0.80254724,0.78582357,0.675718703,0.53427395,0.5280092,0.000172343,0.017114179,0.066017425,2.027869479,4.0398638,3.8216019,2.768221057,1.7205905,1.684233,44.83379744,176.274597,270.018175,547.9703008,844.6190706,937.8204864,1236.469643,1490.937026,1499.509525
2014-ILH1,2,6,1,25,2,5,18,2,1,2,8,9,34,36,41,59,61,62,13.12551343,10.90220761,14.7616638,14.52434068,14.0403909,13.00235165,14.40650252,18.95000025,18.3850002,0.010298543,0.755642888,3.9067,220.0310354,775.7257,1032.780055,1667.471143,1993.725,1993.725,0.016203478,0.461843967,6.782218968,11.68281627,11.68281627,5.5359282,4.770889326,7.3072678,5.423420585,5.49926998,4.899765973,4.263364903,5.2313658,4.8332884,5.1432895,4.454576942,6.6667894,2.74613392,1.29657568,1.194374382,1.216117326,1.86116225,1.7420358,2.141519075,2.168214077,1.548724693,1.942771461,1.261202081,1.171517039,1.19544751,1.861162244,1.742035781,217.0159545,246.5104603,246.6028549,271.3436181,246.8013375,247.6179443,161.5305385,133.734372,134.7021995,-0.200376917,-0.237490825,-0.208697665,-0.293635475,-0.28609051,-0.299938448,-0.109920586,-0.175831093,-0.190029054,2.655293328,4.342465793,0.168517358,3.19000367,0.339314487,0.902855721,0.009411868,0.036820694,0.059443296,1.61583093,6.244484673,1.46202544,6.159921089,1.725414316,4.269479591,0,0.2095893,0.4191786,5.958298667,3.447096526,0,4.7627364,7.2383388,4.641955,2.218571429,7.6,6.74,5.983333333,3.496315789,0,5.1775,8.444,5.203636364,2.218571429,7.6,6.74,5.983333333,3.496315789,0,5.1775,8.444,5.203636364,2.218571429,7.6,6.74,0.025034663,0.04921926,0,0.41476363,1.2056614,0.561681409,0,0,0,2.736479126,2.883951658,2.884413624,3.008117445,2.885406042,2.88948907,2.459052047,2.320071216,2.324910363,3.325545933,2.355583538,3.129728,1.092859219,0.781395502,2.916260158,1.194602313,0,0,0,0,0,0,0,0,0,0,0.000113245,0.007163596,0.03149316,0.487211804,0.83919078,0.822735182,0.721887709,0.5559413,0.547768,0.000113245,0.007163596,0.03149316,0.487410909,0.84059052,0.825567891,0.735939449,0.5920958,0.5851509,0.00028321,0.018085157,0.07999934,2.247208633,4.569212,4.327785273,3.271320371,2.02992,1.9839,55.71774583,168.5265596,280.489645,558.0978622,873.5023074,964.2808294,1258.346008,1527.12452,1536.31702
2014-INH1,4,13,0,21,1,8,18,4,2,4,17,17,38,39,47,65,69,71,14.25924695,14.06983076,15.0350008,13.58288831,13.30095746,17.13820118,8.969799041,2.75146626,2.761556675,0.001575007,1.997252996,11.69403,449.6847681,1163.2132,1311.081875,1901.302562,2165.761,2165.761,0.015958576,0.388932974,6.978200993,10.92368231,10.92368231,5.9390868,5.630536188,3.8684216,4.924920788,3.81754898,3.834131625,2.770532696,1.3048728,0.947811325,5.583357817,5.267639692,3.2788924,1.94707461,0.79098762,0.8248385,0.838528437,0.92322536,0.67060115,1.4995191,2.629507019,2.367335414,1.526865059,0.790987614,0.824838489,0.828544727,0.923225338,0.670601148,240.1605164,272.8890893,302.3843005,244.3222291,154.7247349,171.951589,178.3932126,195.477086,194.3699079,-0.156137021,-0.211583721,-0.18773582,-0.180618385,-0.108005213,-0.337246785,-0.223574044,-0.212176554,-0.196324716,0.110199815,5.429146799,7.85641337,0.761263017,0.011017871,0.528003406,0.180910811,0.070444378,0.032248288,1.814142951,9.087751609,13.3245337,2.166819712,0,4.445703375,2.93592365,2.21629457,0.839605388,1.178333333,5.22028716,11.641697,2.318540635,1.224,9.122127875,3.120200671,0.724,0.475,1.178333333,5.39,11.8,2.323846154,1.224,9.7,3.346575342,0.724,0.475,1.178333333,5.39,11.8,2.323846154,1.224,9.7,3.346575342,0.724,0.475,0,0.169712824,0.1583034,0.005305517,0,0.577872,0.226374707,0,0,3.073368743,3.237011618,3.384487655,3.094177315,2.646189838,2.732324122,2.764532231,2.849951597,2.844415704,7.021851333,2.295419461,0.07478425,1.50504347,0,0,0.124124315,0,0,0,0,0,0,0,0,0,0,1.73E-05,0.016802552,0.09305032,0.657121787,0.91815206,0.900367025,0.629126801,0,0,1.73E-05,0.016802768,0.09305275,0.657693988,0.92115214,0.9056445,0.685317174,0.2030802,0.2030802,4.33E-05,0.043254892,0.2441708,3.654298558,6.3234836,5.779776375,2.889224923,0,0,62.75718883,259.2791471,435.528791,785.0390088,1152.27658,1240.862791,1687.130584,1943.904924,1953.957061
2014-MNH1,0,4,0,13,2,5,16,0,1,0,4,4,17,19,24,40,40,41,8.894999844,11.68921722,8.2073692,12.55270046,13.11390438,13.70019948,12.42620486,9.6942619,11.15354945,0.00849049,1.430323771,4.640442,213.7429678,705.36296,917.00151,1448.406,1695.26,1695.26,0.009278312,0.333073236,6.290353808,10.38331127,10.38331127,4.748952533,4.860538089,3.7933192,4.810550952,4.2182429,5.04466237,3.841068452,4.02719185,3.62858925,4.396397256,4.505079947,3.422814,2.50605867,1.12897412,1.38857661,1.555464607,2.3935875,2.177298,1.34042657,2.277851326,1.493218436,1.792266232,1.126266312,1.333093607,1.506396302,2.393587506,2.177297964,238.0539623,257.7776638,263.4200077,311.1642425,225.6566822,194.9889821,164.4456653,158.2988159,157.3005697,-0.113639474,-0.112769122,-0.099242166,-0.026014471,0.125734452,0.312432775,0.164306352,0.111610726,0.11065673,0.535732126,4.405698378,0.854855705,5.867605228,-0.010788509,-0.018747663,0.068596784,0.000612346,0.000729542,4.650781689,8.216787139,7.7756044,19.24161683,0,0,0.547328136,0,0,0.881111111,3.802212842,0.29,4.171074386,1.752,0.443,3.086669333,0,2.325,0.881111111,4.125789474,0.29,4.696590909,1.752,0.443,3.174285714,0,2.325,0.881111111,4.125789474,0.29,4.696590909,1.752,0.443,3.174285714,0,2.325,0,0.323576637,0,0.525516479,0,0,0.087616393,0,0,3.0962549,3.194873425,3.223085116,3.461806315,3.034268511,2.880930015,2.728213426,2.697479159,2.692487939,4.077926089,2.858949436,4.831567,2.777726389,2.450357,5.533452,2.837102455,0.661222,0.9718389,0,0,0,803.2406546,0,0,0,0,9.34E-05,0.011758723,0.03336323,0.442954439,0.76565406,0.74455716,0.490417779,0.22724205,0.2190573,9.34E-05,0.011758723,0.03336323,0.443211534,0.76717238,0.74779295,0.523648774,0.2979659,0.29109095,0.000233488,0.029720975,0.08483119,1.802658423,3.6275506,3.4241506,1.83055135,0.64450145,0.61817575,44.10920933,195.0257934,294.061848,566.2403831,865.2344768,951.6450903,1298.849652,1528.915224,1540.068773
2014-MOH2,3,5,0,26,3,8,26,2,1,3,8,8,34,37,45,71,73,74,13.23817683,10.96013902,14.5350008,15.56923018,14.07387176,16.91976443,16.69426602,16.47249985,15.9700003,0.005290363,0.298879132,1.279019,127.1784295,521.29024,703.3776625,1232.969213,1545.383,1545.383,0.01508963,0.407161745,5.904960703,9.77979041,9.77979041,5.688270083,4.789150282,5.2645269,5.209592961,5.50900266,5.7986505,5.252142917,4.3337041,5.4479716,5.297242233,4.496849959,4.9040285,2.996380417,1.6080992,1.740360325,1.828685273,1.9305525,2.4481631,2.427401599,1.973457324,2.414150147,1.897746198,1.608099202,1.639904564,1.425507777,1.873889375,2.334836893,288.2331345,305.6669944,306.5902171,320.3388988,285.0748315,279.4639307,203.3120386,186.5861479,183.9513499,-0.23191213,-0.249633783,-0.245899397,-0.265078059,-0.149882824,-0.312733721,-0.066169154,-0.183141806,-0.154734008,3.373599242,3.221112872,0.073105383,3.207325175,0.00391396,0.551755827,0.049933072,0.039036124,0.028744686,1.988338772,4.010614266,0.41525901,4.094482084,0,1.359520574,0.23284878,0.051567,0,5.474632833,2.444516,0.86,3.60675,0.464,5.040045125,2.5970688,0.595,0.05,5.595,2.551176471,0.86,3.714444444,0.464,5.4375,2.619,0.595,0.05,5.595,2.551176471,0.86,3.714444444,0.464,5.4375,2.619,0.595,0.05,0.120367083,0.106660471,0,0.107694455,0,0.39745475,0.021931227,0,0,2.424826714,2.51199601,2.516612117,2.585355535,2.409035194,2.380980684,2.000221234,1.916591768,1.903417783,3.453199867,4.228168224,3.111736,2.083276831,1.10987265,1.104416398,4.937520947,0.000577928,0.001155855,0,0,0,0,0,0,0,0,5.82E-05,0.003014941,0.01278344,0.358783714,0.71109962,0.694641375,0.590831543,0.42948875,0.4210489,5.82E-05,0.003016792,0.01278604,0.358909623,0.71219154,0.697064,0.603224373,0.45992535,0.4525349,0.000145485,0.007565633,0.03216464,1.367292125,3.1042756,2.96660175,2.2791336,1.4033295,1.366343,60.0422725,166.6298041,263.580547,525.5241869,834.9893754,922.7984389,1215.657859,1471.230244,1479.215244
2014-NEH1,2,8,0,21,2,6,23,1,2,2,10,10,31,33,39,62,63,65,10.76532189,14.21541728,13.9649714,14.61596316,13.72952076,15.6237279,16.7174916,20.2549992,20.26749945,0.007153896,0.762532404,2.971841,201.2298473,728.4662,955.8530444,1510.9865,1764.521,1764.521,0.014110358,0.448919943,6.697785426,10.5880737,10.5880737,5.434126543,5.781792429,5.1712874,5.571733695,5.90367236,6.027424478,5.292868563,3.7603851,5.19828635,5.039767914,5.3845869,4.7276856,2.911614429,1.44204546,1.527034567,1.980984937,2.1568894,3.0510777,1.499034819,2.767522217,4.096670014,2.068017778,1.442045492,1.31020653,1.786037961,2.156889437,3.051077703,235.6871065,254.5204832,286.9706687,291.9029449,239.228475,202.5897886,140.5163785,124.9363625,124.4069418,-0.178153303,-0.248887087,-0.425910652,-0.228303896,-0.082636063,-0.007112989,0.019363285,-0.010467772,-0.010739107,0.745004279,6.585220639,11.62500861,3.844648379,0.007647368,-0.008400307,-0.002382911,0.005797122,0.005917486,0.517596853,5.2131764,12.807248,6.370182349,0,0,0,0,0,1.664285714,6.1671195,0.79,3.964155711,1.226,0.056666667,2.594333333,14.29,9.505,1.664285714,7.032142857,0.79,4.097631579,1.226,0.056666667,2.594333333,14.29,9.505,1.664285714,7.032142857,0.79,4.097631579,1.226,0.056666667,2.594333333,14.29,9.505,0,0.865023079,0,0.133475841,0,0,0,0,0,2.779115123,2.873282004,3.035532952,3.060194318,2.796821972,2.61362853,2.303261481,2.225361383,2.222714271,5.750390286,2.209313407,1.180949,1.090168144,0.753220936,3.590989589,5.931972231,0,0,0,0,0,0,0,0,0,0,7.87E-05,0.007558097,0.02748431,0.471984247,0.81825348,0.792389567,0.53041151,0.2173699,0.2056796,7.87E-05,0.007558097,0.02748431,0.472124834,0.8193709,0.795208578,0.56618127,0.3028527,0.29323095,0.000196732,0.01906002,0.06967266,2.097636986,4.2631232,4.023956111,2.145872287,0.6127378,0.5759417,43.58061371,172.2578464,266.779104,527.8199586,834.8904348,918.8189834,1225.311532,1471.621093,1481.761093
2014-NEH2,1,8,0,25,4,7,26,2,1,1,9,9,34,38,45,71,73,74,10.12494241,12.5683759,10.9144744,15.28097616,16.51418158,17.34713328,13.9521396,14.2777591,13.6979683,0.004351606,2.027032962,7.891598,241.2151689,769.48836,945.4248375,1302.78286,1419.265,1419.265,0.010317688,0.286956781,5.020992796,8.17873448,8.17873448,5.183656575,5.477928842,6.7674244,6.508990979,6.05814454,6.078448813,4.879722921,4.3225528,3.4561243,4.722928425,5.000967392,5.9483608,3.353231307,1.77178652,2.015462725,2.789278535,3.396402,2.7269587,1.097267609,2.351585081,2.082201602,1.954340311,1.037813986,1.799717696,2.1296682,1.103736979,1.067231211,176.6812806,212.7776478,251.6183826,233.2100105,149.0419972,128.5780057,102.3696416,91.23487868,90.6178411,-0.04338107,-0.210301997,-0.152746476,-0.156066799,-0.015632228,-0.004555903,-0.028227166,-0.014115761,-0.012431479,0.019941,5.153339069,2.895969137,1.922848133,-0.01836322,-0.01505227,0.01273473,0.002915304,0.00267706,0,3.640229446,3.872505,2.475794785,0,0,0.026416149,0,0,2.63875,5.626568208,0.22,2.586147667,0.934,1.1925,2.907906953,0.015,0.03,2.63875,6.38,0.22,2.662142857,0.934,1.1925,2.907906977,0.015,0.03,2.63875,6.38,0.22,2.662142857,0.934,1.1925,2.907906977,0.015,0.03,0,0.753431792,0,0.075995176,0,0,0,0,0,2.337174098,2.517655933,2.711859595,2.619817756,2.198977691,2.096657725,1.965615904,1.909942095,1.906856901,20.724369,2.825201198,2.336976,5.780192662,11.946822,12.6239,3.357145821,5.820126,6.320126,0,0,0,0,0,0,0,0,4.79E-05,0.014514477,0.0499694,0.443405997,0.69632898,0.612202538,0.244366373,0.033666885,0.03138763,4.79E-05,0.014514489,0.04996968,0.444183652,0.7022226,0.625141863,0.311824109,0.1346863,0.1327984,0.000119669,0.036827241,0.1281527,1.762254495,3.1122264,2.653067,0.799205828,0.08562361,0.07972693,46.261732,240.5697768,377.991266,682.1195147,1041.290586,1132.818869,1519.861437,1784.969366,1791.81835
2014-NYH2,1,1,0,17,3,1,9,0,0,1,2,2,19,22,23,32,32,32,10.02003171,10.64476463,8.6964879,12.61652663,13.72360204,11.15916798,10.82859654,13.0231503,11.9232118,0.004026586,0.312964932,1.537008,171.0350112,579.13936,787.9332,1304.436187,1624.017,1624.017,0.010085578,0.317834857,5.567793887,9.55336563,9.55336563,5.089907375,4.594267412,6.2888472,4.959263628,4.20989334,4.0362846,3.493683784,3.6343576,3.30034375,4.797378225,4.368864412,5.958151,2.964753253,1.2407611,1.228648983,1.263636944,1.496629,1.3650295,1.489496827,2.323187058,1.595211057,1.784426188,1.240761107,1.177528865,1.249167577,1.496629034,1.365029499,227.6072728,247.0680201,254.4499671,257.1547862,245.133743,238.3097653,203.6904851,156.1218548,156.665468,-0.022146825,-0.047453366,-0.018595829,-0.118621556,-0.226233235,-0.187418999,-0.135318254,-0.028004079,-0.032801673,0.112478463,5.272376361,1.32520421,2.236787068,3.28306259,1.935294889,0.43979204,0.008110569,0.009489273,2.301793041,6.840136105,7.1787362,4.510840016,5.33318762,3.750956205,1.059963377,0,0,0.88,3.899850412,0,3.455736465,6.9732672,3.849035833,2.014028044,0,2.25,0.88,4.014117647,0,3.575348837,7.496,3.965,2.023777778,0,2.25,0.88,4.014117647,0,3.575348837,7.496,3.965,2.023777778,0,2.25,0,0.114267235,0,0.119612365,0.522732891,0.115964121,0.009749733,0,0,2.237234232,2.334537973,2.371447732,2.3849718,2.324866575,2.29074669,2.117650293,1.879807154,1.882525208,5.313814875,2.417899707,2.981534,1.543212736,0,0.112313268,0.441546116,4.000186,2.864081,0,0,0,0,0,0,0,0,4.43E-05,0.002989959,0.01265335,0.396255645,0.71359748,0.696569217,0.5897676,0.4920236,0.4893221,4.43E-05,0.002989959,0.01265335,0.396369917,0.71457036,0.698913817,0.602298193,0.515044,0.5126593,0.000110731,0.007503401,0.03183521,1.538903225,3.1260208,2.982452667,2.252133067,1.693301,1.6800755,54.42841063,175.7732126,263.494509,535.9629699,825.2470888,915.6288648,1230.087166,1451.73179,1457.143427
2014-WIH1,1,1,0,7,2,2,14,0,0,1,2,2,9,11,13,27,27,27,7.540901964,10.88292549,11.2891913,11.98583538,12.88363226,12.27806113,13.59533211,13.0344758,11.86256725,0.003425382,0.676806483,2.817665,186.1037931,667.57504,864.0713182,1398.348649,1725.046,1725.046,0.010205884,0.324445437,5.690024139,10.15331978,10.15331978,3.660845364,5.697845589,6.6247053,4.888033102,4.65606908,4.2394428,4.189212186,4.507649,2.89792035,3.351733655,5.242986344,6.0434478,2.772348654,1.32473684,1.247180845,1.455321714,1.8207743,1.17433245,2.135605585,2.241588022,1.59600807,1.867690797,1.184475365,1.159852746,1.442694946,1.820774259,1.174332428,246.9730498,259.7562729,275.881278,324.8062645,296.1875928,269.6229054,228.7725168,221.6134653,227.3251631,-0.146367613,-0.186787163,-0.187810905,-0.067739691,0.040715169,-6.22E-05,-0.206457982,-0.188554951,-0.31093183,3.850342726,3.870086821,2.723456093,5.276978078,-0.019808429,-0.022773009,0.069511059,0.015285879,0.092175876,4.987597464,5.499747027,8.0975026,15.49394019,0.256423966,0.013128861,0.786899414,0,1.2748655,3.890652545,3.873979556,0.1,4.478974891,0.118,2.632727273,3.725464,1.59,7.582901,4.224545455,4.082222222,0.1,4.827608696,0.118,2.632727273,3.837837838,1.59,7.63,4.224545455,4.082222222,0.1,4.827608696,0.118,2.632727273,3.837837838,1.59,7.63,0.333892909,0.208242722,0,0.348633808,0,0,0.112373811,0,0.047098865,2.509116574,2.573032692,2.653657692,2.898282646,2.75518929,2.622365854,2.418113904,2.382318655,2.410877151,2.297091865,3.10333225,3.315002,1.751468015,4.7397322,5.198068545,0.2905786,0.09679562,0.04839781,0,0,0,1.64589663,0,0,0,0,3.77E-05,0.005687607,0.02114124,0.40255057,0.72672246,0.709795764,0.606166438,0.4981549,0.4941692,3.77E-05,0.005687607,0.02114124,0.40272695,0.72797994,0.712439091,0.618864727,0.5227227,0.5192185,9.42E-05,0.014311864,0.05341978,1.584242887,3.243296,3.094162636,2.356890459,1.723659,1.70396,54.06410382,178.8876266,274.137053,541.5783662,841.1803906,924.552023,1235.103651,1477.527888,1482.873218
2015-ILH1,2,2,0,17,2,5,25,1,2,2,4,4,21,23,28,53,54,56,12.12737693,10.75211522,13.1294926,13.76672524,13.58807008,14.10577109,15.73045169,17.1000004,17.36000015,0.007549714,0.8773901,3.39096,168.7813644,600.38494,772.72932,1349.351881,1722.049,1722.049,0.0158757,0.369013218,5.949534269,10.35999037,10.35999037,5.006079271,4.547083244,4.4078353,4.640308898,4.92390134,4.07604747,5.30619755,5.6519063,5.8808594,4.618307157,4.244426617,4.0370308,2.543997813,1.2366461,1.07146812,1.624160653,2.0671865,2.17484455,1.417668803,2.283634778,1.360953203,1.676662718,1.184252977,1.028546496,1.606907236,2.067186523,1.972720293,177.0311908,206.6198177,206.1302224,259.7676607,293.9832015,308.845698,241.4539168,182.53308,179.712192,-0.125936154,-0.238127813,-0.153186568,-0.277577608,-0.141989303,-0.103870009,-0.13906864,-0.110977602,-0.106230896,0.006190771,3.929580843,0.070358951,5.785751546,2.733211838,2.116578361,0.181598241,0.003997383,0.003572944,0,2.981884185,0.27817783,12.43709086,11.24717058,13.45122168,1.212071863,0,0,1.508571429,3.9165385,0.34,6.184238275,1.108,6.5607235,1.6484375,0.05,0.07,1.508571429,4.013333333,0.34,6.58025,1.108,7.005,1.6484375,0.05,0.07,1.508571429,4.013333333,0.34,6.58025,1.108,7.005,1.6484375,0.05,0.07,0,0.096794822,0,0.39601177,0,0.444276503,0,0,0,2.536555303,2.68449845,2.682050466,2.950237655,3.121315363,3.195627845,2.858668935,2.564064747,2.549960311,6.999059857,2.301904919,6.506516,1.303710133,0.641733068,0.111740756,0.924161126,1.486415,1.986415,0,0,0,0.339572425,0,0,0,0,8.30E-05,0.007654066,0.0272908,0.447282981,0.8024409,0.78582092,0.677679434,0.5479135,0.540268,8.30E-05,0.007654066,0.0272908,0.447449861,0.803611,0.78838827,0.6915567,0.5776422,0.5710434,0.000207617,0.019287377,0.06917527,1.940769222,4.054566,3.8548146,2.879649188,1.984705,1.943125,48.31087271,183.0195956,268.841269,531.6657605,833.7284642,921.3023495,1236.484803,1478.396213,1487.206213
