YS,HIP_Hybrid,HIP_Inbred
2369/LH123HT,B73/MO17,B73
B14A/H95,B73/PHK76,B84
B14A/MO17,B73/PHN82,LH145
B14A/OH43,B73/PHZ51,LH185
B37/H95,LH145/LH82,LH195
B37/MO17,LH195/MO17,LH244
B37/OH43,LH195/PHK76,LH82
B73/MO17,LH195/PHN82,MO17
B73/PHM49,LH195/PHZ51,PH207
B73/PHN82,LH244/MO17,PHAJ0
B73/TX779,LH244/PHK76,PHB47
CG119/CG108,LH244/PHN82,PHJ40
CG44/CGR01,LH244/PHZ51,PHJ89
F42/H95,PHB47/MO17,PHP02
F42/MO17,PHB47/PHK76,PHR03
F42/OH43,PHB47/PHN82,PHRE1
LH74/PHN82,PHB47/PHZ51,PHT69
PHG39/PHN82,PHG29/PHG47,PHTD5
PHW52/PHM49,PHJ40/PHAJ0,PHW65
PHW52/PHN82,PHJ89/PH207,PHZ51
REDEAR/LH195 (REDEAR is TX951),PHRE1/PHTD5,TX714
TX110/87916,TX714/PHZ51,W22
TX714/TX779,---,---
TX777/LH195,---,---
TX779/LH195,---,---
